keywords, title, data
keyword1,This text contains the title of the resource content.,Here goes the description or the URL - https://examplesite.com
История,Предмет история предназначен для студентов 1 курса 1 семестра.,Перейдите по ссылке для ознакомления - https://drive.google.com/drive/folders/1PcaJ8XuZj_rnZISn-stKaO7ZjVibvPeA?usp=drive_link
Философия,Предмет философия предназначен для студентов 1 курса 1 семестра.,Перейдите по ссылке для ознакомления - https://drive.google.com/drive/folders/1IkVn97DEyMmoSJx_p73F83MFUtZSY-8Q?usp=drive_link
Иностранный язык,Предмет иностранный язык предназначен для студентов 1 курса 1 семестра.,Перейдите по ссылке для ознакомления - https://drive.google.com/drive/folders/1bGjMA6BZjHNVkEMmfZGVmnX_jcYdu8ti?usp=drive_link
Математический анализ,Предмет математический анализ предназначен для студентов 1 курса 1 семестра.,Перейдите по ссылке для ознакомления - https://drive.google.com/drive/folders/1uJfFbiHp6G2bbXuCEEftpf1NfTKpPYxA?usp=drive_link
Социология,Предмет социология предназначен для студентов 1 курса 1 семестра.,Перейдите по ссылке для ознакомления - https://drive.google.com/drive/folders/1DXGYIvnZGDsH7GOOYoxbqRTxitafG0H4?usp=drive_link
Теоретические основы информатики,Предмет теоретические основы информатики предназначен для студентов 1 курса 1 семестра.,Перейдите по ссылке для ознакомления - https://drive.google.com/drive/folders/12525TyrGzPbg4h1emIJBWy4x95fphXHA?usp=drive_link
Дискретная математика,Предмет дискретная математика предназначен для студентов 1 курса 1 семестра.,Перейдите по ссылке для ознакомления - https://drive.google.com/drive/folders/19YqI3SSMiHy7UbrlL9lo8PFcabolMm76?usp=drive_link
Экономическая теория,Предмет экономическая теория предназначен для студентов 1 курса 1 семестра.,Перейдите по ссылке для ознакомления - https://drive.google.com/drive/folders/1JFgpjQQwrJdSVf24JoJJV5H_4s8M_JdM?usp=drive_link
Безопасность жизнедеятельности,Предмет безопасность жизнедеятельности предназначен для студентов 1 курса 1 семестра.,Перейдите по ссылке для ознакомления - https://drive.google.com/drive/folders/1zdiitAD7D78toD5h6DDygFk3OJeoVAnl?usp=drive_link
Физическая культура и спорт,Предмет физическая культура и спорт предназначен для студентов 1 курса 1 семестра.,Перейдите по ссылке для ознакомления - https://drive.google.com/drive/folders/1bmRMT9-f3PpactV-_GxI-tbwygFsewQ2?usp=drive_link
Психология,Предмет психология предназначен для студентов 1 курса 1 семестра.,Перейдите по ссылке для ознакомления - https://drive.google.com/drive/folders/1Uz3pE1zsPGj5SXziqsFGABjh2Archf8d?usp=drive_link
Право,Предмет право предназначен для студентов 1 курса 2 семестра.,Перейдите по ссылке для ознакомления - https://drive.google.com/drive/folders/1vxnlbEm8pohDwOokd0nVglqSt10rHd9R?usp=drive_link
Информационное право,Предмет информационное право предназначен для студентов 1 курса 2 семестра.,Перейдите по ссылке для ознакомления - https://drive.google.com/drive/folders/1NovanzaTj4eKelrN0E4RXqmOntpe2c0C?usp=drive_link
Иностранный язык,Предмет иностранный язык предназначен для студентов 1 курса 2 семестра.,Перейдите по ссылке для ознакомления - https://drive.google.com/drive/folders/1Ec94vdJnvKZQfrxIJbLkTwhPkl-H0hN_?usp=drive_link
Линейная алгебра,Предмет линейная алгебра предназначен для студентов 1 курса 2 семестра.,Перейдите по ссылке для ознакомления - https://drive.google.com/drive/folders/1H4KjwyO1SdDqa-SQaEh47ofHuRhm1u0d?usp=drive_link
Математический анализ,Предмет математический анализ предназначен для студентов 1 курса 2 семестра.,Перейдите по ссылке для ознакомления - https://drive.google.com/drive/folders/1bjknAR3bSAiMYuEvsMy-YQ_Iv79yMd_r?usp=drive_link
